"Outcome","Samantha A.","Sammie B.","Annie C.","Evie D.","Tiffany E.","Yasmin G.","Michelle H.","Daisy I.","Eva J.","Rachel K.","Nancy L.","Hazel M.","Melissa N.","Isobel O.","Eliza P.","Alish Q.","Maryam R.","Isla S.","Connie T.","Sofia U."
0,0,0,0,-1,-1,-1,0,-1,0,1,0,0,1,0,0,0,1,1,-1,0
0,1,1,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,-1,-1,0,-1
0,-1,-1,-1,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,1,-1,0
0,1,0,0,0,1,0,1,0,1,0,0,-1,0,-1,-1,0,-1,0,0,-1
0,-1,0,0,0,-1,0,-1,0,-1,0,0,1,0,1,1,0,1,0,-1,0
0,0,1,1,1,0,0,1,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1
0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,1,0,0,1,1,1,-1,0
0,1,1,0,0,0,0,1,0,1,-1,0,0,0,-1,0,-1,-1,0,0,-1
0,-1,-1,0,0,0,0,-1,0,-1,1,0,0,0,1,0,1,1,0,-1,0
0,0,0,0,1,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1
0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,1,1,0,1,1,0,-1,0
0,0,1,0,1,0,0,1,0,1,0,-1,-1,-1,0,0,0,-1,0,0,-1
0,0,-1,0,-1,0,0,-1,0,-1,0,1,1,1,0,0,0,1,0,-1,0
1,0,0,0,1,1,0,1,1,0,0,0,-1,-1,0,-1,-1,0,0,0,-1
0,0,0,0,-1,-1,0,-1,-1,0,0,0,1,1,0,1,1,0,0,-1,0
0,0,0,0,0,1,1,0,1,1,-1,0,-1,0,-1,-1,0,0,0,0,-1
0,0,0,0,0,-1,-1,0,-1,-1,1,0,1,0,1,1,0,0,0,-1,0
1,0,0,0,1,1,0,1,0,1,0,-1,0,-1,-1,0,0,0,-1,0,-1
0,0,0,0,-1,-1,0,-1,0,-1,0,1,0,1,1,0,0,0,1,-1,0
0,0,1,0,1,0,1,0,0,1,0,-1,-1,-1,0,0,-1,0,0,0,-1
0,0,-1,0,-1,0,-1,0,0,-1,0,1,1,1,0,0,1,0,0,-1,0
0,0,0,0,0,1,1,1,0,1,0,-1,-1,-1,0,0,-1,0,0,0,-1
0,0,0,0,0,-1,-1,-1,0,-1,0,1,1,1,0,0,1,0,0,-1,0
1,1,0,0,0,0,1,1,0,1,0,-1,0,-1,-1,0,0,-1,0,0,-1
0,-1,0,0,0,0,-1,-1,0,-1,0,1,0,1,1,0,0,1,0,-1,0
0,0,0,0,1,1,0,0,1,1,0,-1,-1,-1,0,0,0,0,-1,0,-1
0,0,0,0,-1,-1,0,0,-1,-1,0,1,1,1,0,0,0,0,1,-1,0
0,0,1,0,1,1,1,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,-1
0,0,-1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,1,1,0,-1,0
0,1,1,0,1,0,0,0,1,0,0,-1,0,-1,-1,-1,0,0,0,0,-1
0,-1,-1,0,-1,0,0,0,-1,0,0,1,0,1,1,1,0,0,0,-1,0
0,1,1,0,0,0,1,0,0,1,0,0,0,-1,-1,0,-1,-1,0,0,-1
0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,1,1,0,1,1,0,-1,0
1,0,1,0,0,1,1,1,0,0,-1,0,-1,0,0,0,-1,-1,0,0,-1
0,0,-1,0,0,-1,-1,-1,0,0,1,0,1,0,0,0,1,1,0,-1,0
0,1,1,0,0,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1
0,-1,-1,0,0,-1,-1,0,0,0,1,0,1,1,1,0,0,0,0,-1,0
0,0,1,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1
0,0,-1,-1,-1,0,-1,0,0,0,0,0,1,1,1,1,0,0,0,-1,0
0,0,1,0,0,1,0,0,1,1,-1,-1,0,0,-1,0,0,-1,0,0,-1
0,0,-1,0,0,-1,0,0,-1,-1,1,1,0,0,1,0,0,1,0,-1,0
0,0,1,1,0,1,1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1
0,0,-1,-1,0,-1,-1,0,0,0,1,1,0,0,0,1,1,0,0,-1,0
0,1,0,1,0,0,1,0,0,1,-1,0,-1,-1,0,-1,0,0,0,0,-1
0,-1,0,-1,0,0,-1,0,0,-1,1,0,1,1,0,1,0,0,0,-1,0
1,1,0,0,0,0,0,1,1,1,-1,-1,0,0,0,-1,0,-1,0,0,-1
0,-1,0,0,0,0,0,-1,-1,-1,1,1,0,0,0,1,0,1,0,-1,0
1,1,1,0,0,0,1,0,1,0,-1,0,0,0,0,-1,-1,-1,0,0,-1
0,-1,-1,0,0,0,-1,0,-1,0,1,0,0,0,0,1,1,1,0,-1,0
0,1,0,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1
1,-1,0,-1,0,0,-1,-1,0,0,0,1,1,1,0,0,0,0,1,-1,0
0,0,1,1,0,1,1,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1
0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,1,1,1,0,0,-1,0
0,0,0,0,0,1,1,0,1,1,-1,-1,0,-1,0,0,0,-1,0,0,-1
0,0,0,0,0,-1,-1,0,-1,-1,1,1,0,1,0,0,0,1,0,-1,0
0,1,0,0,1,0,0,1,1,0,-1,0,-1,0,0,0,0,-1,-1,0,-1
0,-1,0,0,-1,0,0,-1,-1,0,1,0,1,0,0,0,0,1,1,-1,0
0,1,0,1,1,0,0,0,0,1,0,0,-1,-1,0,0,-1,-1,0,0,-1
0,-1,0,-1,-1,0,0,0,0,-1,0,0,1,1,0,0,1,1,0,-1,0
0,0,1,1,0,0,0,0,1,1,-1,0,0,-1,-1,0,0,-1,0,0,-1
0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,1,1,0,0,1,0,-1,0
0,1,0,0,0,1,1,1,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1
0,-1,0,0,0,-1,-1,-1,0,0,0,1,0,1,0,1,0,0,1,-1,0
0,0,0,0,0,1,1,1,0,1,0,-1,-1,0,0,-1,-1,0,0,0,-1
0,0,0,0,0,-1,-1,-1,0,-1,0,1,1,0,0,1,1,0,0,-1,0
0,1,0,0,0,0,1,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,-1
0,-1,0,0,0,0,-1,-1,-1,0,0,0,1,0,1,1,1,0,0,-1,0
1,0,1,0,1,1,0,1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,-1
0,0,-1,0,-1,-1,0,-1,0,0,1,1,0,1,0,1,0,0,0,-1,0
0,0,0,0,1,0,0,1,1,1,-1,0,-1,-1,0,0,0,-1,0,0,-1
0,0,0,0,-1,0,0,-1,-1,-1,1,0,1,1,0,0,0,1,0,-1,0
0,1,0,0,1,1,0,0,1,0,0,0,-1,-1,0,0,-1,-1,0,0,-1
0,-1,0,0,-1,-1,0,0,-1,0,0,0,1,1,0,0,1,1,0,-1,0
0,1,0,0,1,1,0,1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,-1
1,-1,0,0,-1,-1,0,-1,0,0,0,1,0,1,1,0,0,1,0,-1,0
0,0,0,1,1,1,0,1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,-1
0,0,0,-1,-1,-1,0,-1,0,0,1,1,0,1,0,0,1,0,0,-1,0
0,0,1,0,1,1,1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1
0,0,-1,0,-1,-1,-1,0,0,0,1,1,1,0,0,0,0,1,0,-1,0
1,0,1,0,1,1,0,0,0,1,-1,-1,0,0,-1,0,0,0,-1,0,-1
0,0,-1,0,-1,-1,0,0,0,-1,1,1,0,0,1,0,0,0,1,-1,0
0,0,0,1,1,0,1,0,1,0,0,0,0,-1,0,-1,-1,0,-1,0,-1
1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,1,0,1,1,0,1,-1,0
0,0,1,1,1,0,0,0,1,0,0,-1,-1,0,0,-1,-1,0,0,0,-1
0,0,-1,-1,-1,0,0,0,-1,0,0,1,1,0,0,1,1,0,0,-1,0
0,1,0,1,1,0,0,1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,-1
0,-1,0,-1,-1,0,0,-1,0,0,1,0,1,1,0,0,1,0,0,-1,0
0,0,1,0,0,0,1,1,1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1
0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,0,1,0,1,1,0,-1,0
0,0,0,0,1,1,0,1,0,1,-1,0,0,-1,0,0,-1,0,-1,0,-1
0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,1,0,0,1,0,1,-1,0
0,0,1,1,1,1,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1
0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,1,1,-1,0
0,0,0,1,1,0,0,1,0,1,0,-1,-1,0,-1,0,-1,0,0,0,-1
1,0,0,-1,-1,0,0,-1,0,-1,0,1,1,0,1,0,1,0,0,-1,0
0,0,0,1,1,0,1,0,0,1,0,-1,0,0,0,-1,-1,0,-1,0,-1
0,0,0,-1,-1,0,-1,0,0,-1,0,1,0,0,0,1,1,0,1,-1,0
0,0,1,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1
0,0,-1,-1,-1,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,-1,0
0,1,0,0,1,0,1,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1
0,-1,0,0,-1,0,-1,-1,0,0,1,0,0,0,1,0,0,1,1,-1,0
0,0,1,0,1,1,0,0,0,1,0,-1,-1,-1,0,0,0,0,-1,0,-1
0,0,-1,0,-1,-1,0,0,0,-1,0,1,1,1,0,0,0,0,1,-1,0
0,0,1,0,0,0,1,1,1,0,0,-1,0,0,-1,-1,0,0,-1,0,-1
0,0,-1,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,0,1,-1,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1
0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,1,1,1,1,0,-1,0
0,0,0,0,0,0,1,1,1,1,0,-1,-1,0,0,0,-1,0,-1,0,-1
0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,1,0,1,-1,0
0,1,0,1,0,1,1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,-1
0,-1,0,-1,0,-1,-1,0,0,0,1,1,0,1,0,0,0,1,0,-1,0
0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1
0,-1,-1,0,0,-1,-1,0,0,0,1,1,1,0,0,0,1,0,0,-1,0
0,0,0,1,0,1,0,1,0,1,-1,0,0,0,-1,0,-1,-1,0,0,-1
0,0,0,-1,0,-1,0,-1,0,-1,1,0,0,0,1,0,1,1,0,-1,0
1,0,1,0,0,0,1,1,0,1,0,-1,0,0,0,-1,0,-1,-1,0,-1
0,0,-1,0,0,0,-1,-1,0,-1,0,1,0,0,0,1,0,1,1,-1,0
0,1,0,0,0,1,0,1,0,1,0,-1,0,-1,-1,-1,0,0,0,0,-1
0,-1,0,0,0,-1,0,-1,0,-1,0,1,0,1,1,1,0,0,0,-1,0
0,1,1,0,1,0,1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,-1
0,-1,-1,0,-1,0,-1,0,0,0,1,1,0,1,0,0,1,0,0,-1,0
0,0,0,0,1,0,1,0,1,1,0,-1,0,0,-1,0,0,-1,-1,0,-1
0,0,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,0,1,1,-1,0
1,0,1,1,0,1,0,0,1,0,0,-1,0,0,0,-1,0,-1,-1,0,-1
0,0,-1,-1,0,-1,0,0,-1,0,0,1,0,0,0,1,0,1,1,-1,0
1,1,0,0,1,0,0,0,1,1,-1,0,-1,0,0,-1,-1,0,0,0,-1
0,-1,0,0,-1,0,0,0,-1,-1,1,0,1,0,0,1,1,0,0,-1,0
0,0,0,1,0,0,1,0,1,1,0,0,0,0,-1,-1,0,-1,-1,0,-1
0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,1,1,0,1,1,-1,0
1,0,1,0,0,0,0,1,1,1,-1,-1,0,-1,0,0,0,-1,0,0,-1
0,0,-1,0,0,0,0,-1,-1,-1,1,1,0,1,0,0,0,1,0,-1,0
0,1,1,0,0,1,0,0,0,1,-1,-1,0,0,0,0,0,-1,-1,0,-1
0,-1,-1,0,0,-1,0,0,0,-1,1,1,0,0,0,0,0,1,1,-1,0
0,0,1,0,1,1,0,0,1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1
0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,1,0,0,1,1,1,-1,0
0,0,1,0,0,1,1,0,1,0,-1,-1,0,-1,0,0,-1,0,0,0,-1
0,0,-1,0,0,-1,-1,0,-1,0,1,1,0,1,0,0,1,0,0,-1,0
0,1,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1
0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,1,1,1,1,0,0,-1,0
1,1,1,0,0,1,1,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,-1
0,-1,-1,0,0,-1,-1,0,0,0,1,1,0,1,0,0,0,0,1,-1,0
0,1,0,1,0,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,-1
0,-1,0,-1,0,-1,-1,0,0,0,0,0,1,1,1,0,0,0,1,-1,0
1,1,0,0,0,0,1,0,1,1,0,-1,0,-1,0,-1,0,-1,0,0,-1
0,-1,0,0,0,0,-1,0,-1,-1,0,1,0,1,0,1,0,1,0,-1,0
0,1,0,1,1,0,1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1
0,-1,0,-1,-1,0,-1,0,0,0,1,1,1,0,0,1,0,0,0,-1,0
0,1,0,1,0,0,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,-1
0,-1,0,-1,0,0,-1,-1,0,0,0,1,0,1,1,1,0,0,0,-1,0
0,1,0,0,1,1,1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,-1
0,-1,0,0,-1,-1,-1,0,0,0,1,1,1,0,1,0,0,0,0,-1,0
0,1,0,0,1,1,0,0,0,1,-1,0,0,0,-1,0,0,-1,-1,0,-1
0,-1,0,0,-1,-1,0,0,0,-1,1,0,0,0,1,0,0,1,1,-1,0
0,1,1,0,0,0,0,0,1,1,0,-1,-1,0,-1,0,0,-1,0,0,-1
0,-1,-1,0,0,0,0,0,-1,-1,0,1,1,0,1,0,0,1,0,-1,0
0,1,0,0,0,1,0,1,1,0,0,-1,0,0,0,0,-1,-1,-1,0,-1
1,-1,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,1,1,1,-1,0
0,1,0,1,0,0,0,1,1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1
0,-1,0,-1,0,0,0,-1,-1,0,1,1,0,1,0,1,0,0,0,-1,0
0,1,1,1,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,-1
1,-1,-1,-1,0,-1,0,0,0,0,1,0,1,1,0,0,0,0,1,-1,0
1,0,0,0,1,0,1,1,0,1,-1,0,0,0,-1,0,-1,0,-1,0,-1
0,0,0,0,-1,0,-1,-1,0,-1,1,0,0,0,1,0,1,0,1,-1,0
0,0,0,1,1,0,1,0,1,0,0,0,-1,0,0,-1,-1,-1,0,0,-1
0,0,0,-1,-1,0,-1,0,-1,0,0,0,1,0,0,1,1,1,0,-1,0
0,0,0,0,1,1,0,1,0,1,-1,0,-1,0,-1,0,0,0,-1,0,-1
0,0,0,0,-1,-1,0,-1,0,-1,1,0,1,0,1,0,0,0,1,-1,0
0,0,0,0,1,0,0,1,1,1,0,0,-1,-1,-1,0,0,0,-1,0,-1
0,0,0,0,-1,0,0,-1,-1,-1,0,0,1,1,1,0,0,0,1,-1,0
0,1,0,1,0,0,1,0,1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1
1,-1,0,-1,0,0,-1,0,-1,0,1,0,0,0,1,0,1,1,0,-1,0
0,1,0,1,0,1,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,0,-1
1,-1,0,-1,0,-1,0,0,0,-1,0,1,1,1,0,1,0,0,0,-1,0
0,1,0,1,1,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1
0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,1,1,0,1,0,1,-1,0
0,1,1,0,0,0,1,0,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-1
0,-1,-1,0,0,0,-1,0,-1,0,1,1,1,0,1,0,0,0,0,-1,0
0,1,1,1,0,0,0,0,1,0,-1,0,-1,0,0,-1,-1,0,0,0,-1
0,-1,-1,-1,0,0,0,0,-1,0,1,0,1,0,0,1,1,0,0,-1,0
1,1,0,0,1,0,0,0,1,1,0,0,-1,0,-1,0,0,-1,-1,0,-1
0,-1,0,0,-1,0,0,0,-1,-1,0,0,1,0,1,0,0,1,1,-1,0
0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,-1,0,0,0,-1,0,-1
0,-1,0,0,-1,0,-1,0,0,-1,0,0,1,1,1,0,0,0,1,-1,0
0,0,1,0,0,1,1,1,0,0,-1,0,0,-1,-1,0,0,0,-1,0,-1
0,0,-1,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,0,0,1,-1,0
0,0,0,0,1,0,1,1,0,1,0,0,-1,-1,0,0,-1,0,-1,0,-1
0,0,0,0,-1,0,-1,-1,0,-1,0,0,1,1,0,0,1,0,1,-1,0
0,0,0,0,0,0,1,1,1,1,-1,0,-1,0,0,-1,0,-1,0,0,-1
0,0,0,0,0,0,-1,-1,-1,-1,1,0,1,0,0,1,0,1,0,-1,0
0,0,1,0,1,0,1,1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1
0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,1,1,1,0,0,1,-1,0
0,0,1,1,1,0,0,0,0,1,-1,-1,0,-1,0,0,0,-1,0,0,-1
0,0,-1,-1,-1,0,0,0,0,-1,1,1,0,1,0,0,0,1,0,-1,0
0,0,0,1,0,1,1,0,1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1
0,0,0,-1,0,-1,-1,0,-1,0,0,1,1,1,0,0,0,0,1,-1,0
0,1,1,1,0,0,0,0,1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1
0,-1,-1,-1,0,0,0,0,-1,0,0,1,0,1,1,0,1,0,0,-1,0
0,0,0,1,1,0,0,1,1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1
0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,1,0,0,1,1,1,-1,0
0,0,0,1,1,0,0,0,1,1,0,0,-1,-1,0,-1,0,-1,0,0,-1
0,0,0,-1,-1,0,0,0,-1,-1,0,0,1,1,0,1,0,1,0,-1,0
1,0,1,1,1,0,0,0,0,1,-1,0,-1,0,-1,0,-1,0,0,0,-1
0,0,-1,-1,-1,0,0,0,0,-1,1,0,1,0,1,0,1,0,0,-1,0
0,1,1,0,0,0,0,1,1,0,0,0,-1,-1,0,0,-1,-1,0,0,-1
0,-1,-1,0,0,0,0,-1,-1,0,0,0,1,1,0,0,1,1,0,-1,0
0,0,0,0,1,0,1,1,1,0,-1,-1,-1,0,0,0,-1,0,0,0,-1
0,0,0,0,-1,0,-1,-1,-1,0,1,1,1,0,0,0,1,0,0,-1,0
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1
0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,1,1,1,1,-1,0
0,0,1,0,0,0,0,1,1,1,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,-1,0,0,0,0,-1,-1,-1,0,1,1,0,1,0,0,0,1,-1,0
0,1,1,0,0,0,1,0,0,1,0,0,-1,0,0,-1,-1,0,-1,0,-1
0,-1,-1,0,0,0,-1,0,0,-1,0,0,1,0,0,1,1,0,1,-1,0
0,0,0,1,1,1,1,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1
1,0,0,-1,-1,-1,-1,0,0,0,0,1,0,1,0,0,1,1,0,-1,0
0,1,1,0,0,0,1,0,1,0,-1,0,0,-1,0,-1,-1,0,0,0,-1
0,-1,-1,0,0,0,-1,0,-1,0,1,0,0,1,0,1,1,0,0,-1,0
1,0,1,1,0,0,0,0,1,1,-1,0,0,0,0,-1,-1,0,-1,0,-1
0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,0,0,1,1,0,1,-1,0
0,1,1,1,0,0,0,1,0,0,-1,-1,0,-1,0,0,0,0,-1,0,-1
0,-1,-1,-1,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,1,-1,0
0,1,0,0,0,1,0,1,0,1,-1,0,0,0,0,-1,-1,-1,0,0,-1
1,-1,0,0,0,-1,0,-1,0,-1,1,0,0,0,0,1,1,1,0,-1,0
0,0,1,0,0,1,0,1,1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1
0,0,-1,0,0,-1,0,-1,-1,0,0,0,1,0,1,0,1,0,1,-1,0
0,0,1,1,1,0,0,1,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1
0,0,-1,-1,-1,0,0,-1,0,0,0,1,1,0,1,0,1,0,0,-1,0
0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,-1
0,-1,-1,-1,-1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,0
0,1,0,0,1,0,1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1
0,-1,0,0,-1,0,-1,0,0,-1,1,1,0,0,0,1,1,0,0,-1,0
0,1,1,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,-1
0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1,0
1,1,0,0,1,0,0,0,1,1,0,-1,0,-1,-1,0,-1,0,0,0,-1
0,-1,0,0,-1,0,0,0,-1,-1,0,1,0,1,1,0,1,0,0,-1,0
1,0,0,0,0,1,0,1,1,1,0,0,-1,-1,-1,0,0,0,-1,0,-1
0,0,0,0,0,-1,0,-1,-1,-1,0,0,1,1,1,0,0,0,1,-1,0
0,0,0,0,0,0,1,1,1,1,0,-1,0,0,-1,0,-1,0,-1,0,-1
0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,1,0,1,0,1,-1,0
0,1,0,0,1,0,1,1,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1
0,-1,0,0,-1,0,-1,-1,0,0,1,0,0,1,1,1,0,0,0,-1,0
0,1,1,0,0,1,0,0,0,1,0,0,-1,-1,-1,0,-1,0,0,0,-1
0,-1,-1,0,0,-1,0,0,0,-1,0,0,1,1,1,0,1,0,0,-1,0
0,0,0,0,1,1,0,1,1,0,-1,-1,0,0,0,-1,0,-1,0,0,-1
0,0,0,0,-1,-1,0,-1,-1,0,1,1,0,0,0,1,0,1,0,-1,0
0,0,1,0,0,0,1,1,0,1,0,-1,-1,-1,0,-1,0,0,0,0,-1
0,0,-1,0,0,0,-1,-1,0,-1,0,1,1,1,0,1,0,0,0,-1,0
0,0,1,1,1,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-1
0,0,-1,-1,-1,0,0,-1,0,0,0,1,0,0,0,1,0,1,1,-1,0
0,1,0,1,1,0,0,0,0,1,-1,0,-1,-1,0,0,0,-1,0,0,-1
0,-1,0,-1,-1,0,0,0,0,-1,1,0,1,1,0,0,0,1,0,-1,0
0,1,0,0,0,0,1,1,0,1,-1,-1,-1,0,0,0,0,-1,0,0,-1
0,-1,0,0,0,0,-1,-1,0,-1,1,1,1,0,0,0,0,1,0,-1,0
0,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,-1
0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0,1,1,-1,0
0,0,1,0,1,0,1,0,0,1,0,0,-1,-1,-1,0,-1,0,0,0,-1
0,0,-1,0,-1,0,-1,0,0,-1,0,0,1,1,1,0,1,0,0,-1,0
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,-1
0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,1,1,1,-1,0
1,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1
